gml_parent_id,gml_id,the_geom,bw_belegung_id,bw_begehren_id,bw_art_des_begehrens_bez,bw_bezeichnung,bw_belastungs_art_bez,bw_datum,mapbs_bw_detail_belegung,mapbs_bw_kalender_strasseplatz,bw_belegungs_art_bez
,BW_Allmendbewilligungen_Veranstaltung.105449,,391879,9101043,Temporäre Nutzungsbewilligung,Laternenumzug Schulhaus Lysbüchel     Route: Voltamatte (Besammlung / Abmarsch) - Kraftstrasse - Hüningerstrasse - Beckenstrasse - Lothringerstrasse - Lothringerplatz - Lothringerstrasse - Gasstrasse - Voltaplatz - Voltamatte (Schluss),<unbekannt>,14.11.2017 - 14.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=391879&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=354&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.94731,,370627,9095684,Temporäre Nutzungsbewilligung,Räbeliechtli-Umzug 2017,<unbekannt>,15.11.2017 - 15.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=370627&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=402&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aktivität
,BW_Allmendbewilligungen_Veranstaltung.96882,,382523,9097458,Temporäre Nutzungsbewilligung,35. Basler Stadtlauf Vorbereitungstraining  2017,<unbekannt>,14.11.2017 - 14.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=382523&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=402&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.96850,,382525,9097458,Temporäre Nutzungsbewilligung,35. Basler Stadtlauf Vorbereitungstraining  2017,<unbekannt>,14.11.2017 - 14.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=382525&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=402&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.96858,,382524,9097458,Temporäre Nutzungsbewilligung,35. Basler Stadtlauf Vorbereitungstraining  2017,<unbekannt>,14.11.2017 - 14.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=382524&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=402&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Veranstaltung
,BW_Allmendbewilligungen_Veranstaltung.97032,,382526,9097458,Temporäre Nutzungsbewilligung,35. Basler Stadtlauf Vorbereitungstraining  2017,<unbekannt>,14.11.2017 - 14.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=382526&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=402&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Festivität
,BW_Allmendbewilligungen_Veranstaltung.98988,,369187,9095498,Temporäre Nutzungsbewilligung,Sonntagsflohmarkt,<unbekannt>,02.07.2017 - 01.07.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=369187&month=6&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=1921&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",<unbekannt>
,BW_Allmendbewilligungen_Veranstaltung.70479,,326700,9090084,Temporäre Nutzungsbewilligung,Palazzo Colombino 2017 / 2018,<unbekannt>,15.11.2017 - 27.01.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=326700&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=975&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.96951,,383119,9097704,Temporäre Nutzungsbewilligung,BaselHead - Internationale Achterregatta auf dem Rhein 2017,<unbekannt>,18.11.2017 - 18.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383119&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=902&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
,BW_Allmendbewilligungen_Veranstaltung.96920,,383121,9097704,Temporäre Nutzungsbewilligung,BaselHead - Internationale Achterregatta auf dem Rhein 2017,<unbekannt>,19.11.2017 - 19.11.2017,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=383121&month=10&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=902&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Aufbau bis und mit Abbau
